OID_;admin4Name_en;admin4Name_ua;admin4Pcode;admin4RefName;admin3Name_en;admin3Name_ua;admin2Name_en;admin2Name_ua;admin1Name_en;admin1Name_ua;admin0Name_en;admin0Name_ua;date;validOn;admin4ClassType;admin4pcode2016;POINT_X;POINT_Y;osm_id;fclass;population
98;Apostolove;Апостолове;UA1220310100;Apostolove;Apostolivska;Апостолівська;Apostolivskyi;Апостолівський;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1220310100;33,715131489999997;47,659000489999997;337672588;town;14513
99;Verkhnodniprovsk;Верхньодніпровськ;UA1221010100;Verkhnodniprovsk;Verkhnodniprovska;Верхньодніпровська;Verkhnodniprovskyi;Верхньодніпровський;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1221010100;34,337266200000002;48,650573270000002;337590592;town;16680
100;Vilnohirsk;Вільногірськ;UA1210200000;Vilnohirsk;Vilnohirska;Вільногірська;Vilnohirska;Вільногірська;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1210200000;34,014910329999999;48,482982000000000;337596667;town;23795
101;Synelnykove;Синельникове;UA1213000000;Synelnykove;Synelnykivska;Синельниківська;Synelnykivska;Синельниківська;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1213000000;35,516395709999998;48,324480649999998;337602652;town;31552
102;Khrestivka;Хрестівка;UA1412500000;Khrestivka;Kirovska;Кіровська;Kirovska;Кіровська;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1412500000;38,360113200000001;48,146483539999998;3009868560;town;27016
103;Kamianske;Кам'янське;UA1210400000;Kamianske;Kamianska;Кам'янська;Dniprodzerzhynska;Дніпродзержинська;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1210400000;34,540618360000003;48,525710220000001;;town;
104;Zhovti Vody;Жовті Води;UA1210700000;Zhovti Vody;Zhovtovodska;Жовтоводська;Zhovtovodska;Жовтоводська;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1210700000;33,506229939999997;48,359517040000000;337601052;town;48620
105;Zelenodolsk;Зеленодольськ;UA1220310300;Zelenodolsk;Zelenodolska;Зеленодольська;Apostolivskyi;Апостолівський;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1220310300;33,652734430000002;47,563015350000001;1637465428;town;14134
106;Mariupol;Маріуполь;UA1412300000;Mariupol;Mariupolska;Маріупольська;Mariupolska;Маріупольська;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1412300000;37,561430240000000;47,125928000000002;;town;
107;Toretsk;Торецьк;UA1411200000;Toretsk;Toretska;Торецька;Toretska;Торецька;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1411200000;37,848875470000003;48,395122540000003;256613774;town;36324
108;Verkhivtseve;Верхівцеве;UA1221010300;Verkhivtseve;Verkhivtsivska;Верхівцівська;Verkhnodniprovskyi;Верхньодніпровський;Dnipropetrovska;Дніпропетровська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1221010300;34,246143429999996;48,481453770000002;337596922;town;10134
109;Lyman;Лиман;UA1413300000;Lyman;Lymanska;Лиманська;Lymanska;Лиманська;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1413300000;37,803620430000002;48,986385120000001;256613913;town;23307
110;Dobropillia;Добропілля;UA1411500000;Dobropillia;Dobropilska;Добропільська;Dobropilska;Добропільська;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1411500000;37,085354819999999;48,470502730000000;1847424848;town;31701
111;Debaltseve;Дебальцеве;UA1410900000;Debaltseve;Debaltsivska;Дебальцівська;Debaltsevcka;Дебальцевcька;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1410900000;38,405585690000002;48,334216920000003;256613761;town;26255
112;Shakhtarsk;Шахтарськ;UA1415300000;Shakhtarsk;Shakhtarska;Шахтарська;Shakhtarska;Шахтарська;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1415300000;38,416448899999999;48,074991850000004;;town;
113;Bunhe;Бунге;UA1412070700;Bunhe;Yunokomunarivska;Юнокомунарівська;Yenakiivska;Єнакіївська;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1412070700;38,283261240000002;48,219495320000000;256613839;town;681
114;Hirnyk;Гірник;UA1413870300;Hirnyk;Hirnytska;Гірницька;Selydivska;Селидівська;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1413870300;37,369565670000000;48,052985210000003;256613978;town;11822
115;Druzhkivka;Дружківка;UA1411700000;Druzhkivka;Druzhkivska;Дружківська;Druzhkivska;Дружківська;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1411700000;37,530008680000002;48,618439360000004;256613834;town;60581
116;Zhdanivka;Жданівка;UA1412100000;Zhdanivka;Zhdanivska;Жданівська;Zhdanivska;Жданівська;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1412100000;38,256361360000000;48,154841550000000;256613886;town;12985
