OID_;admin4Name_en;admin4Name_ua;admin4Pcode;admin4RefName;admin3Name_en;admin3Name_ua;admin2Name_en;admin2Name_ua;admin2Name_ru;admin2Pcode;admin1Name_en;admin1Name_ua;admin0Name_en;admin0Name_ua;date;validOn;admin4ClassType;admin4pcode2016;POINT_X;POINT_Y;FID;osm_id;fclass;population
145;Ivanivka;Іванівка;UA4420355600;Ivanivka;Ivanivska;Іванівська;Antratsytivskyi;Антрацитівський;Антрацитовский;UA44203;Luhanska;Луганська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);4420355600;38,945718620000001;48,233938400000000;623;256614941;village;1052
146;Zidky;Зідьки;UA6321755300;Zidky;Zidkivska;Зідьківська;Zmiivskyi;Зміївський;Змиевский;UA63217;Kharkivska;Харківська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);6321755300;36,388713369999998;49,696316760000002;13465;337549096;village;4087
147;Luzhany;Лужани;UA7322555400;Luzhany;Luzhanska;Лужанська;Kitsmanskyi;Кіцманський;Кицманский;UA73225;Chernivetska;Чернівецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);7322555400;25,778157579999998;48,358835929999998;1571;293971716;village;4738
148;Velykyi Burluk;Великий Бурлук;UA6321455100;Velykyi Burluk;Velykoburlutska;Великобурлуцька;Velykoburlutskyi;Великобурлуцький;Великобурлукский;UA63214;Kharkivska;Харківська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);6321455100;37,386823360000001;50,054095279999999;10411;337535865;village;4072
149;Mykhailivka;Михайлівка;UA4423656400;Mykhailivka;Mykhailivska;Михайлівська;Perevalskyi;Перевальський;Перевальский;UA44236;Luhanska;Луганська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);4423656400;38,913852830000003;48,461746259999998;125;256613671;village;64
150;Nyzhnie;Нижнє;UA4423857700;Nyzhnie;Nyzhnenska;Нижненська;Popasnianskyi;Попаснянський;Попаснянский;UA44238;Luhanska;Луганська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);4423857700;38,633771310000000;48,774580520000001;14025;337551691;village;275
151;Verkhniachka;Верхнячка;UA7124655300;Verkhniachka;Verkhniatska;Верхняцька;Khrystynivskyi;Христинівський;Христиновский;UA71246;Cherkaska;Черкаська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);7124655300;30,039370550000001;48,826956080000002;86;249634267;village;4058
152;Kalynove;Калинове;UA4423856500;Kalynove;Kalynivska;Калинівська;Popasnianskyi;Попаснянський;Попаснянский;UA44238;Luhanska;Луганська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);4423856500;38,512541120000002;48,564355550000002;485;256614652;village;223
153;Vilshana;Вільшана;UA7120355400;Vilshana;Vilshanska;Вільшанська;Horodyshchenskyi;Городищенський;Городищенский;UA71203;Cherkaska;Черкаська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);7120355400;31,212665189999999;49,214293470000001;5684;337515601;village;2235
154;Katerynopil;Катеринопіль;UA7122255100;Katerynopil;Katerynopilska;Катеринопільська;Katerynopilskyi;Катеринопільський;Катеринопольский;UA71222;Cherkaska;Черкаська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;селища міського типу (СМТ);7122255100;30,968036380000001;48,943174480000003;19125;337579618;village;6092
